Nr okr.,TERYT,Gmina,L. obw.,Liczba wyborców,Otrzymane karty,Niewykorzystane karty,Wydane karty,Liczba wyborców głosujących przez pełnomocnika,Liczba wyborców głosujących na podstawie zaświadczenia,Pakiety wyborcze,Koperty zwrotne,Koperty  bez oświadczenia,Niepodpisane oświadczenie,Koperty zwrotne bez koperty na kartę do głosowania,Niezaklejona koperta na kartę do głosowania,Koperty na kartę do głosowania wrzucone do urny,Karty wyjęte z urny,Karty wyjęte z kopert na karty do głosowania,Karty nieważne,Karty ważne,Głosy nieważne,w tym: z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list,w tym: z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata,"w tym: z powodu postawienia znaku „x” wyłącznie obok nazwiska kandydata z listy, której rejestracja została unieważniona",Głosy ważne,1 - Komitet Wyborczy Prawo i Sprawiedliwość,2 - Komitet Wyborczy Platforma Obywatelska RP,3 - Komitet Wyborczy Partia Razem,4 - Komitet Wyborczy KORWiN,5 - Komitet Wyborczy Polskie Stronnictwo Ludowe,6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni,7 - Komitet Wyborczy Wyborców „Kukiz'15”,8 - Komitet Wyborczy Nowoczesna Ryszarda Petru,9 - Komitet Wyborczy Wyborców JOW Bezpartyjni,10 - Komitet Wyborczy Wyborców Zbigniewa Stonogi,11 - Komitet Wyborczy Wyborców  Ruch Społeczny Rzeczypospolitej Polskiej,12 - Komitet Wyborczy Wyborców Zjednoczeni dla Śląska,13 - Komitet Wyborczy Samoobrona,14 - Komitet Wyborczy Wyborców Grzegorza Brauna „Szczęść Boże!”,15 - Komitet Wyborczy Kongres Nowej Prawicy,16 - Komitet Wyborczy Wyborców Mniejszość Niemiecka,16 - Komitet Wyborczy Wyborców Obywatele do Parlamentu
11,102008,gm. Stryków,10,10050,7345,2076,5269,1,39,4,4,0,0,0,0,4,5272,4,0,5272,126,92,32,0,5146,1796,1169,214,226,337,510,440,385,,32.0,,,7.0,30.0,,,
11,102009,gm. Zgierz,9,10932,8027,1948,6079,3,34,9,9,2,0,0,0,7,6084,7,0,6084,125,82,41,0,5959,2347,1437,239,185,183,581,436,496,,23.0,,,6.0,26.0,,,
9,102101,m. Brzeziny,9,10115,7949,2877,5072,1,33,0,0,0,0,0,0,0,5070,0,0,5070,144,98,43,0,4926,2078,990,205,187,310,341,477,338,,,,,,,,,
9,102102,gm. Brzeziny,5,4383,3330,1138,2192,0,4,0,0,0,0,0,0,0,2192,0,0,2192,61,42,18,0,2131,1003,273,62,74,302,127,190,100,,,,,,,,,
9,102103,gm. Dmosin,8,3779,2850,1174,1676,7,28,1,1,0,0,0,0,1,1677,1,0,1677,38,29,9,0,1639,725,181,55,67,259,124,158,70,,,,,,,,,
9,102104,gm. Jeżów,10,2801,2187,851,1336,3,2,0,0,0,0,0,0,0,1336,0,0,1336,55,41,14,0,1281,657,133,37,35,251,52,83,33,,,,,,,,,
9,102105,gm. Rogów,7,3888,2960,1092,1868,2,17,0,0,0,0,0,0,0,1867,0,0,1867,47,31,16,0,1820,831,248,69,85,174,103,215,95,,,,,,,,,
9,106101,m. Łódź,420,561118,442127,121085,321035,165,2667,240,229,11,3,0,5,211,321082,211,88,320994,4319,2656,1523,0,316675,89406,103776,15006,15310,7140,34440,22238,29359,,,,,,,,,
10,106201,m. Piotrków Trybunalski,41,60415,46568,13947,32621,21,128,13,11,0,0,0,0,11,32625,11,0,32625,622,435,183,0,32003,12132,7051,1038,1231,636,4255,3405,2255,,,,,,,,,
10,106301,m. Skierniewice,26,38370,29526,7972,21554,13,99,11,11,0,0,0,0,11,21560,11,3,21557,407,276,115,0,21150,7563,5741,933,967,811,1923,1797,1415,,,,,,,,,
15,120101,m. Bochnia,18,23448,17967,4529,13438,17,99,11,10,0,0,0,0,10,13448,10,0,13448,260,178,81,0,13188,6151,2192,409,738,868,524,1145,1117,,,,,,30.0,14.0,,
15,120102,gm. Bochnia,16,15319,11670,3721,7949,0,31,0,0,0,0,0,0,0,7949,0,0,7949,323,253,63,0,7626,4183,770,217,386,661,175,795,381,,,,,,38.0,20.0,,
15,120103,gm. Drwinia,5,5146,3931,1202,2729,3,13,1,1,0,0,0,0,1,2730,1,0,2730,101,56,23,0,2629,1701,210,55,96,183,35,262,77,,,,,,7.0,3.0,,
15,120104,gm. Lipnica Murowana,5,4383,3340,1066,2274,0,15,0,0,0,0,0,0,0,2273,0,0,2273,122,95,27,0,2151,1285,201,51,49,306,44,169,39,,,,,,1.0,6.0,,
15,120105,gm. Łapanów,5,6187,4581,1429,3152,1,31,1,1,0,0,0,0,1,3153,1,0,3153,172,124,34,0,2981,1598,303,76,146,344,72,343,83,,,,,,10.0,6.0,,
15,120106,gm. Nowy Wiśnicz,9,10823,8301,2160,6141,2,32,0,0,0,0,0,0,0,6138,0,0,6138,236,193,42,0,5902,3476,646,137,233,459,138,568,188,,,,,,44.0,13.0,,
15,120107,gm. Rzezawa,9,8637,6586,2034,4551,2,24,1,1,0,0,0,0,1,4550,1,0,4550,143,116,23,0,4407,2839,422,107,196,198,73,422,128,,,,,,11.0,11.0,,
15,120108,gm. Trzciana,5,4183,3190,822,2368,0,17,0,0,0,0,0,0,0,2368,0,0,2368,73,57,13,0,2295,1440,165,43,113,227,27,214,50,,,,,,9.0,7.0,,
15,120109,gm. Żegocina,4,4087,3110,531,2579,5,12,0,0,0,0,0,0,0,2579,0,0,2579,47,32,11,0,2532,1875,126,42,86,169,18,161,41,,,,,,9.0,5.0,,
15,120201,gm. Borzęcin,6,6759,5130,1980,3150,3,9,0,0,0,0,0,0,0,3148,0,0,3148,141,95,26,0,3007,1562,244,51,189,536,50,296,58,,,,,,6.0,15.0,,
15,120202,gm. Brzesko,26,28942,22420,7058,15362,11,93,4,4,0,0,0,0,4,15361,4,0,15361,384,267,102,0,14977,7563,2556,316,855,747,480,1593,777,,,,,,39.0,51.0,,
15,120203,gm. Czchów,9,7549,5795,1864,3931,8,44,1,1,1,0,0,0,0,3931,0,0,3931,146,110,30,0,3785,2277,328,64,216,409,76,314,74,,,,,,9.0,18.0,,
15,120204,gm. Dębno,12,11452,8807,2600,6207,7,32,1,1,0,0,0,0,1,6206,1,0,6206,203,137,61,0,6003,3208,676,171,372,503,149,693,204,,,,,,9.0,18.0,,
15,120205,gm. Gnojnik,6,6033,4570,1402,3168,0,35,0,0,0,0,0,0,0,3168,0,0,3168,156,123,30,0,3012,1930,180,53,125,377,49,226,56,,,,,,7.0,9.0,,
15,120206,gm. Iwkowa,4,4808,3660,1055,2605,1,24,0,0,0,0,0,0,0,2605,0,0,2605,127,99,28,0,2478,1691,155,33,81,271,36,163,39,,,,,,8.0,1.0,,
15,120207,gm. Szczurowa,11,7736,5940,2710,3230,2,18,2,2,0,0,0,0,2,3231,2,0,3231,126,94,32,0,3105,1631,277,137,109,437,67,314,111,,,,,,13.0,9.0,,
12,120301,gm. Alwernia,8,10311,8029,2672,5357,1,23,0,0,0,0,0,0,0,5356,0,0,5356,182,149,27,0,5174,2363,1054,185,271,97,266,436,502,,,,,,,,,
12,120302,gm. Babice,9,7366,5618,1711,3907,1,15,1,1,0,0,0,0,1,3906,1,0,3906,155,118,37,0,3751,1775,782,128,191,142,177,340,216,,,,,,,,,
12,120303,gm. Chrzanów,31,38476,29579,8715,20863,16,101,9,9,1,0,0,0,8,20864,8,0,20864,459,356,88,0,20405,7217,6059,909,942,318,1742,1705,1513,,,,,,,,,
12,120304,gm. Libiąż,15,18126,13953,4059,9894,5,21,4,4,0,0,0,0,4,9898,4,0,9898,313,265,43,0,9585,4421,2350,362,412,99,669,795,477,,,,,,,,,
12,120305,gm. Trzebinia,27,27717,21273,6464,14809,5,59,9,9,0,0,0,0,9,14816,9,0,14816,449,363,69,0,14367,5303,3498,667,755,381,1375,1475,913,,,,,,,,,
15,120401,gm. Bolesław,2,2336,1800,936,864,2,6,1,1,0,0,0,0,1,865,1,0,865,24,16,7,0,841,439,40,11,39,222,17,64,7,,,,,,1.0,1.0,,
15,120402,gm. Dąbrowa Tarnowska,20,16785,12986,4917,8069,6,24,1,0,0,0,0,0,0,8068,0,0,8068,217,143,71,0,7851,4750,627,110,391,1039,169,460,278,,,,,,16.0,11.0,,
15,120403,gm. Gręboszów,4,2887,2250,942,1308,5,10,1,1,0,0,0,0,1,1309,1,0,1309,21,14,6,0,1288,646,43,12,22,478,24,50,10,,,,,,2.0,1.0,,
15,120404,gm. Mędrzechów,4,2852,2225,1019,1206,5,3,0,0,0,0,0,0,0,1206,0,0,1206,62,36,25,0,1144,613,91,16,45,246,32,82,15,,,,,,3.0,1.0,,
15,120405,gm. Olesno,8,6315,4861,1996,2865,1,13,1,1,0,0,0,0,1,2864,1,0,2864,94,73,21,0,2770,1862,155,49,102,308,50,195,43,,,,,,3.0,3.0,,
15,120406,gm. Radgoszcz,7,5776,4459,1722,2737,3,9,0,0,0,0,0,0,0,2734,0,0,2734,118,89,29,0,2616,1754,102,40,104,342,31,177,58,,,,,,5.0,3.0,,
15,120407,gm. Szczucin,9,10603,8170,3722,4448,0,14,2,2,0,0,0,0,2,4450,2,0,4450,183,128,44,0,4267,2400,369,114,179,506,151,376,144,,,,,,15.0,13.0,,
